sked_id,home_initial
2473,bc
2475,bst
2477,mmd
2479,bbr
2481,bbr
2483,edm
2485,orr
2487,ham
2489,ssk
2491,spr
2493,tor
2495,cgy
2497,edm
2499,orr
2501,ham
2503,bst
2505,wpg
2507,mmd
2509,edm
2511,spr
2513,bc
2515,sat
2517,ssk
2519,bbr
2521,cgy
2523,bc
2525,tor
2527,sat
2529,bst
2531,wpg
2533,mmd
2535,ham
2537,orr
2539,cgy
2541,ssk
2543,edm
2545,bbr
2547,bst
2549,spr
2551,mmd
2553,bbr
2555,tor
2557,bc
2559,sat
2561,edm
2563,spr
2565,wpg
2567,ssk
2569,ham
2571,sat
2573,bbr
2575,tor
2577,orr
2579,bst
2581,cgy
2583,mmd
2585,tor
2587,bc
2589,bst
2591,wpg
2593,sat
2595,bst
2597,cgy
2599,sat
2601,edm
2603,bst
2605,cgy
2607,bst
2609,sgm
2611,bc
2613,ham
2615,edm
2617,spr
2619,wpg
2621,tor
2623,cgy
2625,orr
2627,bst
2629,ssk
2631,lvp
2633,orr
2635,tor
2637,ssk
2639,bc
2641,sgm
2643,edm
2645,wpg
2647,ham
2649,orr
2651,bst
2653,spr
2655,lvp
2657,edm
2659,bc
2661,ssk
2663,bst
2665,cgy
2667,lvp
2669,ham
2671,wpg
2673,tor
2675,cgy
2677,spr
2679,sgm
2681,orr
2683,tor
2685,edm
2687,bc
2689,ham
2691,lvp
2693,cgy
2695,bst
2697,orr
2699,bc
2701,ssk
2703,spr
2705,wpg
2707,sgm
2709,cgy
2711,bst
2713,spr
2715,lvp
2717,wpg
2719,tor
2721,edm
2723,ssk
2725,ham
2727,bc
2729,sgm
2731,orr
2733,spr
2735,ssk
2737,cgy
2739,ham
2741,edm
2743,bst
2745,lvp
2747,orr
2749,tor
2751,wpg
2753,cgy
2755,ham
2757,bc
2759,sgm
2761,tor
2763,ssk
2765,wpg
2767,spr
2769,lvp
2771,sgm
2773,orr
2775,edm
2777,ssk
2779,bst
2781,wpg
2783,tor
2785,edm
2787,lvp
2789,bst
2791,spr
2793,bc
2795,sgm
2797,ham
2799,cgy
2801,ssk
2803,lvp
2805,spr
2807,ham
2809,edm
2811,orr
2813,cgy
2815,wpg
2817,bst
2819,sgm
2821,tor
2823,ssk
2825,tor
2827,orr
2829,bst
2831,edm
2833,bc
2835,cgy
2837,spr
2839,bc
2841,lvp
2843,sgm
2845,ham
2847,wpg
2849,bst
2851,edm
2853,wpg
2855,cgy
2857,wpg
2859,cgy
2861,bc
2863,wpg
2865,cgy
2867,orr
2869,ham
2871,ssk
2873,edm
2875,sgm
2877,tor
2879,bc
2881,cgy
2883,orr
2885,bc
2887,ham
2889,edm
2891,tor
2893,ssk
2895,orr
2897,wpg
2899,sgm
2901,edm
2903,tor
2905,wpg
2907,bc
2909,sgm
2911,cgy
2913,ham
2915,bc
2917,ssk
2919,sgm
2921,wpg
2923,tor
2925,ham
2927,orr
2929,edm
2931,ssk
2933,bc
2935,wpg
2937,cgy
2939,sgm
2941,tor
2943,bc
2945,orr
2947,ham
2949,sgm
2951,edm
2953,tor
2955,ssk
2957,cgy
2959,wpg
2961,edm
2963,orr
2965,ssk
2967,cgy
2969,ham
2971,edm
2973,bc
2975,sgm
2977,wpg
2979,ham
2981,cgy
2983,tor
2985,ssk
2987,cgy
2989,orr
2991,bc
2993,edm
2995,ssk
2997,wpg
2999,sgm
3001,tor
3003,bc
3005,orr
3007,cgy
3009,ham
3011,wpg
3013,edm
3015,ssk
3017,tor
3019,orr
3021,ssk
3023,sgm
3025,ham
3027,bc
3029,orr
3031,cgy
3033,tor
3035,sgm
3037,ham
3039,wpg
3041,edm
3043,ham
3045,cgy
3047,edm
3049,wpg
3051,cgy
3053,edm
3055,tor
3057,ham
3059,orr
3061,tor
3063,ssk
3065,cgy
3067,wpg
3069,edm
3071,bc
3073,ssk
3075,orr
3077,ham
3079,bc
3081,edm
3083,orr
3085,tor
3087,cgy
3089,wpg
3091,tor
3093,bc
3095,ssk
3097,ham
3099,orr
3101,wpg
3103,cgy
3105,tor
3107,edm
3109,ssk
3111,ham
3113,orr
3115,wpg
3117,bc
3119,ham
3121,orr
3123,edm
3125,cgy
3127,tor
3129,wpg
3131,edm
3133,ssk
3135,bc
3137,ssk
3139,cgy
3141,ham
3143,edm
3145,orr
3147,tor
3149,wpg
3151,ham
3153,bc
3155,ssk
3157,cgy
3159,edm
3161,tor
3163,orr
3165,wpg
3167,edm
3169,ham
3171,ssk
3173,cgy
3175,tor
3177,bc
3179,ssk
3181,orr
3183,edm
3185,tor
3187,wpg
3189,cgy
3191,cgy
3193,ham
3195,wpg
3197,ssk
3199,orr
3201,bc
3203,ham
3205,edm
3207,bc
3209,tor
3211,wpg
3213,cgy
3215,ham
3217,edm
3219,wpg
3221,cgy
3223,cgy
3225,bc
3227,tor
3229,ssk
3231,orr
3233,edm
3235,ham
3237,cgy
3239,wpg
3241,bc
3243,orr
3245,bc
3247,ssk
3249,ham
3251,edm
3253,tor
3255,cgy
3257,wpg
3259,orr
3261,tor
3263,bc
3265,ssk
3267,edm
3269,bc
3271,wpg
3273,ham
3275,orr
3277,cgy
3279,ssk
3281,ham
3283,tor
3285,orr
3287,bc
3289,wpg
3291,edm
3293,ssk
3295,cgy
3297,ham
3299,tor
3301,wpg
3303,edm
3305,orr
3307,ssk
3309,ham
3311,cgy
3313,bc
3315,edm
3317,tor
3319,orr
3321,wpg
3323,ham
3325,bc
3327,ssk
3329,cgy
3331,tor
3333,bc
3335,wpg
3337,cgy
3339,edm
3341,ham
3343,orr
3345,ssk
3347,edm
3349,tor
3351,orr
3353,cgy
3355,wpg
3357,bc
3359,cgy
3361,ham
3363,wpg
3365,tor
3367,ssk
3369,edm
3371,orr
3373,ham
3375,ssk
3377,edm
3379,bc
3381,tor
3383,wpg
