playerid,touchdowns,points,fumbles,first,last,team,height,weight,birthdate,birthplace,position
3591,1,6,0,Matt,Black,Toronto Argonauts,5.09,192,31107,"Toronto, ON",RB
3593,4,24,0,Clarence,Denmark,Winnipeg Blue Bombers,5.1,189,31319,"Jacksonville, FL",OLB
3603,1,6,1,Bo,Bowling,NULL,5.09,183,32082,"Tonkawa, OK",OL
3617,2,12,0,Jerald,Brown,Montreal Alouettes,5.11,185,29558,"Washington, DC",QB
3653,1,6,1,Buck,Pierce,11,6.01,195,29905,"Hutchinson, KS",WR
3657,0,0,0,Kevin,Huntley,Calgary Stampeders,6.08,305,30049,"Washington, DC",OG
3665,0,0,0,Jordan,Sisco,NULL,6,212,32197,"Regina, SK",OG
3673,0,0,0,Greg,Wojt,Edmonton Eskimos,6.04,300,31373,"Warsaw, Poland",DL
3675,2,12,5,Matt,Nichols,Edmonton Eskimos,6.02,215,31855,"Redding, CA",DB
3681,0,0,0,Martin,Bédard,Montreal Alouettes,6.03,239,30764,"Laval, QC",WR
3687,3,18,0,Nate,Coehoorn,Edmonton Eskimos,6.02,210,31672,"Medicine Hat, AB",OG
3697,0,0,0,Johnnie,Dixon,NULL,5.11,190,32488,"Belle Glade, FL",C
3703,0,0,0,Etienne,Legare,Calgary Stampeders,6.03,275,30390,"Saint-Raymond, QC",LS
3707,0,0,0,Gord,Hinse,NULL,6.04,307,32013,"Edmonton, AB",DT
3709,8,50,6,Justin,Goltz,NULL,6.05,217,32012,"Walled Lake, MI",RB
3739,0,0,0,Brian,Bulcke,Hamilton Tigercats,6.04,281,31894,"Windsor, ON",WR
3747,0,0,4,Justin ,Sorensen,Edmonton Eskimos,6.08,311,31571,"Parksville, BC",WR
3753,13,80,4,Chad,Owens,Toronto Argonauts,5.08,180,30044,"Honolulu, HI",DB
3755,1,6,0,Dan,Clark,Saskatchewan Roughriders,6.02,310,32295,"Regina, SK",K
3761,0,0,0,Malik,Jackson,Ottawa Redblacks,6.02,225,31208,"Dunwoody, GA",RB
3763,10,60,2,Maurice,Price,Ottawa Redblacks,6.01,206,31301,"Orlando, FL",DT
3781,5,30,2,Cary,Koch,Calgary Stampeders,6,198,31652,"Baton Rouge, LA",OG
3787,1,6,0,Greg,Carr,Calgary Stampeders,6.06,214,31328,"Reddick, FL",WR
3791,5,30,1,Jason,Barnes,NULL,6.03,187,30783,"Sacramento, CA",OG
3803,16,96,3,Emmanuel,Arceneaux,BC Lions,6.02,211,32037,"Alexandria, LA",OL
3805,1,6,5,Tristan,Jackson,Saskatchewan Roughriders,5.08,185,31476,"Beaumont, MS",OG
3811,3,18,8,Travis,Lulay,BC Lions,6.02,216,30586,"Salem, OR",WR
3813,0,0,0,Ryan,Hinds,Edmonton Eskimos,6.01,198,31582,"Georgetown, Guyana",LS
3855,0,0,0,Jason,Boltus,NULL,6.04,225,31645,"Baldwinsville, NY",DB
3879,14,92,4,Marquay ,McDaniel,Calgary Stampeders,6,206,30792,"Virginia Beach, VA",DB
3881,9,56,10,Mike,Reilly,Edmonton Eskimos,6.03,230,31072,"Kennewick, WA",WR
3887,0,0,1,Carl,Volny,Montreal Alouettes,5.1,210,32136,"Montréal, QC",DB
3897,0,0,0,Demonte',Bolden,Calgary Stampeders,6.05,285,31368,"Chattanooga, TN",WR
3901,0,0,0,Justin ,Hickman,Hamilton Tigercats,6.02,265,31248,"El Paso, TX",DB
3919,0,0,0,Samuel,Fournier,NULL,6,230,31440,0,RB
3947,0,0,0,Cory,Huclack,NULL,6,215,30741,"Winnipeg, MB",DB
3949,1,6,0,Johnny,Sears Jr.,Hamilton Tigercats,6.01,193,31852,"Fresno, CA",WR
3965,0,19,3,Rob,Maver,Calgary Stampeders,6,201,31483,"London, ON",WR
3977,0,0,0,James,Green,Ottawa Redblacks,5.11,217,30489,"Vernon, BC",WR
3981,0,0,0,J'Micheal,Deane,Ottawa Redblacks,6.05,328,31536,"Hinton, AB",WR
3983,4,24,2,Brad,Sinopoli,Ottawa Redblacks,6.04,215,32247,"Peterborough, ON",OLB
3995,0,0,1,Chris,Thompson,NULL,6,200,30090,"New Orleans, LA",QB
4001,0,0,0,Joash,Gesse,NULL,5.11,221,31511,"Montreal, QC",OG
4009,0,0,0,Evan ,McCollough,NULL,5.11,196,32022,"Glenarden, MD",WR
4019,0,0,0,Chris,Rwabukamba,BC Lions,5.11,192,31782,"Kigali, Rwanda",RB
4021,0,0,0,Jonathan,Hefney,Montreal Alouettes,5.09,189,31105,"Rock Hill, SC",DL
4023,0,0,0,Shomari,Williams,Calgary Stampeders,6.01,232,31114,"Toronto, ON",DB
4035,0,0,0,Junior,Turner,Calgary Stampeders,6.03,281,32388,"Toronto, ON",OG
4047,0,0,0,Shawn,Lemon,Calgary Stampeders,6.02,251,32380,"Waldorf, MD",OG
4053,0,0,0,Cauchy,Muamba,Edmonton Eskimos,5.11,195,31905,"Kinshasa, Congo",WR
4063,13,78,0,Shawn,Gore,BC Lions,6,198,31879,"Toronto, ON",WR
4069,0,0,0,Julius,Williams,Calgary Stampeders,6.02,265,31612,"Decatur , GA",RB
4083,0,0,0,Shane,Herbert,Toronto Argonauts,6.02,192,32506,"Ajax, ON",OL
4085,0,0,0,Clint ,Kent,NULL,5.09,201,30603,"Macon, GA",S
4087,2,14,2,Matt,Walter,Calgary Stampeders,5.1,217,32709,"Vancouver, BC",LS
4091,0,0,1,Almondo,Sewell,Edmonton Eskimos,6.04,288,31793,"Buff Bay, Jamaica",OG
4093,4,24,1,Brandon,London,Montreal Alouettes,6.04,210,30971,"Richmond, VA",OLB
4101,0,0,0,Terence,Jeffers-Harris,BC Lions,6.02,213,32318,"San Diego, CA",DL
4113,0,0,0,Robert,McCune,Calgary Stampeders,6.01,235,28923,"Mobile, AL",WR
4115,0,0,0,Kenny,Mainor,Calgary Stampeders,6.03,243,31350,"Atlanta, GA",OLB
4119,0,0,0,Tyler,Holmes,Toronto Argonauts,6.04,299,32348,"Ottawa, ON",DB
4127,0,0,0,Chris,Kowalczuk,NULL,6.05,303,31064,"Brampton, ON",WR
4137,2,12,1,Romby,Bryant,NULL,6.02,195,29210,"Oklahoma City, OK",K
4153,0,0,0,Michael,Carter,Saskatchewan Roughriders,5.1,181,31530,"Windsor, ON",RB
4161,0,0,1,Alex ,Brink,NULL,6.03,222,31200,"Eugene, OR",OG
4167,0,0,0,Moton,Hopkins,Ottawa Redblacks,6.02,277,31736,"Universal City, Texas",C
4171,1,6,0,Marc-Olivier,Brouillette,Montreal Alouettes,6.01,222,31457,"Montréal, QC",DB
4187,0,0,0,Andre,Douglas,Calgary Stampeders,6.05,300,31669,"New Rochelle, NY",OG
4191,9,56,4,Nick,Moore,Winnipeg Blue Bombers,6.02,201,31588,"Westerville, OH",K
4203,0,0,0,Solomon ,Elimimian,BC Lions,6,225,31706,"Calabar, Nigeria",OLB
4205,0,0,0,Daunte,Akra,Calgary Stampeders,6.02,227,31491,"Detroit, MI",RB
4207,0,347,0,Chris,Milo,NULL,5.11,205,31718,"Montreal, QC",C
4209,0,0,0,Jeff,Hecht,Calgary Stampeders,5.1,214,31314,"Edmonton, AB",DL
4235,0,0,0,Matthew,O'Donnell,NULL,6.11,350,32593,"Comox, B.C.",OG
4241,0,0,0,Brandon,Denson,Calgary Stampeders,5.11,230,31980,"Willow Run, MI",DB
4243,0,0,0,Brendan,Dunn,Calgary Stampeders,6.07,300,32376,"Burlington, ON",WR
4253,0,0,0,Daryl,Townsend,Montreal Alouettes,6.01,198,31315,"Windsor, ON",DT
4259,0,0,0,Alex,Suber,Saskatchewan Roughriders,5.07,173,31747,"Tampa Bay, FL",OL
